timestamp_pc,meas_pres_DF,meas_pres_F,meas_pres_G,angle_deg,velocity,flag,force_N,time,cmd_DF,cmd_F,cmd_G
170620.920111008,0.000587117482985498,-0.008256742977023846,-0.0065559399482598155,-2.52,11.879999999999999,1.0,0.22370067445904596,0.0,0.0,0.6,0.5
170620.920264384,0.005238672307865782,-0.0004055343079071889,-0.0052066929924994955,-2.52,11.879999999999999,1.0,0.5899227881710019,0.005,0.0,0.6,0.5
170620.920272416,-0.016971992911039006,-0.0017215409669347475,-0.002354015129729144,-2.52,11.879999999999999,1.0,0.2542191839350423,0.01,0.0,0.6,0.5
170620.920278944,-0.005113194801031237,-0.008166897355833569,-0.002825532739728466,-2.52,11.879999999999999,1.0,0.3762932218390276,0.015,0.0,0.6,0.5
170620.920285536,-0.006210584001381313,-0.002815341866943794,-0.008323758056279468,-2.52,11.879999999999999,1.0,0.17792291024505147,0.02,0.0,0.6,0.5
170620.920292832,0.007303743549755856,-0.0010170957442962416,-0.0038982769151914604,-2.52,11.879999999999999,1.0,0.5594042786950055,0.025,0.0,0.6,0.5
170620.920299744,-0.015826229393818194,-0.005789455299717512,-0.0058888245180422245,-2.52,11.879999999999999,1.0,0.26947843867304044,0.03,0.0,0.6,0.5
170620.92030608,0.006038124476102142,-0.008505779145955796,-0.006932795010991135,-2.52,11.879999999999999,1.0,0.513626514481011,0.035,0.0,0.6,0.5
170620.920312256,-0.007730148406076698,-0.00112300913591564,-0.00665190502065973,-2.52,11.879999999999999,1.0,0.10162663655506066,0.04,0.0,0.6,0.5
170620.961396448,-0.012594541990832623,-0.005326578757717804,-0.009600169308305342,-2.52,11.879999999999999,1.0,0.4525894955290184,0.045,0.0,0.6,0.5
170620.961414848,-0.015794627039373912,-0.007688598552627884,-0.005376400565943658,-2.52,11.879999999999999,1.0,0.31525620288703493,0.05,0.0,0.6,0.5
170620.961422656,-0.013793054427447313,-0.016414287286231125,-0.00889080905504384,-2.52,11.879999999999999,1.0,0.4831080050050147,0.055,0.0,0.6,0.5
170620.961430048,-0.009770163272418156,-0.015039587508649546,-0.011250588232052284,-2.52,11.879999999999999,1.0,0.39155247657702574,0.06,0.4,0.1,0.5
170620.961436896,-0.008371520436704466,-0.0008092438202735111,-0.002080785990351592,-2.52,11.879999999999999,1.0,0.3610339671010294,0.065,0.4,0.1,0.5
170620.961445344,-0.017753974248395536,0.004043150394788708,-0.0044371786806292725,-2.52,11.879999999999999,1.0,0.3305154576250331,0.07,0.4,0.1,0.5
170620.961452192,-0.013978220834030854,0.006653561508138296,-0.0013130291160375147,-2.52,11.879999999999999,1.0,0.5594042786950055,0.075,0.4,0.1,0.5
170620.961458592,-0.005056839138704845,0.012675049239033046,0.01600789974520279,-2.52,11.879999999999999,1.0,0.39155247657702574,0.08,0.4,0.1,0.5
170621.005059808,-0.0087353878476435,0.009118092458903996,0.035031216000185855,-2.52,11.879999999999999,1.0,0.605182042909,0.085,0.4,0.1,0.5
170621.005072448,0.00760136359665308,0.047302494950620395,0.045748019257449986,-2.52,11.879999999999999,1.0,0.39155247657702574,0.09,0.4,0.1,0.5
170621.005079264,0.0010274595927268005,0.07243729181875727,0.0665359694099327,-2.52,11.879999999999999,1.0,0.6204412976469982,0.095,0.4,0.1,0.5
170621.005086368,-0.002957398522393499,0.07410728142789945,0.0745275619498379,-2.52,11.879999999999999,1.0,0.4983672597430129,0.1,0.4,0.1,0.5
170621.005093248,-0.011464303160009933,0.10469464561405308,0.09448708949818661,-2.52,11.879999999999999,1.0,0.46784875026701656,0.105,0.4,0.1,0.5
170621.005100448,-0.01772116523247758,0.11894731953199678,0.10693680970130176,-2.52,11.879999999999999,1.0,-0.020447401348924643,0.11,0.4,0.1,0.5
170621.005107936,-0.008416417554497017,0.13287733401633578,0.12294040798339831,-2.52,11.879999999999999,1.0,0.6204412976469982,0.115,0.4,0.1,0.5
170621.005115424,-0.0045865442345745305,0.15442952160944406,0.13784318882845542,-2.52,11.879999999999999,1.0,0.39155247657702574,0.12,0.4,0.1,0.5
170621.005122368,-0.005942344806840923,0.17004948762615338,0.1556449118817184,-2.52,11.879999999999999,1.0,0.6662190618609927,0.125,0.4,0.1,0.5
170621.046312288,-0.005175624440034621,0.19130615830506767,0.17176326926621957,-2.52,11.879999999999999,1.0,0.39155247657702574,0.13,0.4,0.1,0.5
170621.046327456,0.0013664943021376246,0.19035358916816206,0.18401854504040194,-2.52,11.879999999999999,1.0,0.4983672597430129,0.135,0.4,0.1,0.5
170621.046335232,-0.009487072670945933,0.19028830044156445,0.19989379773937,-2.52,11.879999999999999,1.0,0.4983672597430129,0.14,0.4,0.1,0.5
170621.046342464,-0.0018914565675602242,0.20120856032100695,0.21397814523590386,-2.52,11.879999999999999,1.0,0.513626514481011,0.145,0.4,0.1,0.5
170621.046349792,0.022845089503428537,0.19820753064368826,0.22530241298687978,-2.34,11.7,1.0,0.29999694814903677,0.15,0.4,0.1,0.5
170621.046357472,0.030340454040684847,0.20265674157877608,0.23880401952826777,-2.16,11.52,1.0,0.4831080050050147,0.155,0.4,0.1,0.5
170621.046364704,0.03943489827043549,0.2041807677225587,0.25314684136148213,-1.7999999999999998,11.16,1.0,0.46784875026701656,0.16,0.4,0.1,0.5
170621.046373344,0.06098932985573412,0.216061808118388,0.2643881357822208,-1.44,10.62,1.0,0.6814783165989908,0.165,0.4,0.1,0.5
170621.090722048,0.06981391463752715,0.2102000662698331,0.27670560839002634,-0.8999999999999999,9.9,1.0,0.4831080050050147,0.17,0.4,0.1,0.5
170621.090731872,0.08501092797608836,0.20107188653808872,0.28946444886858097,-0.18,8.82,1.0,0.895107882931022,0.17500000000000002,0.4,0.1,0.5
170621.090749408,0.10180946665649261,0.19845988913181647,0.2995719631387489,0.54,7.739999999999999,1.0,0.2542191839350423,0.18,0.4,0.1,0.5
170621.090756064,0.12672639275520095,0.2008100621411553,0.3094833978866445,1.6199999999999999,6.3,1.0,0.696737571336989,0.185,0.4,0.1,0.5
170621.090762112,0.13793915203254173,0.20484587558719983,0.31948255087343314,2.6999999999999997,4.68,1.0,0.34577471236303126,0.19,0.4,0.1,0.5
170621.090768448,0.1598240227948562,0.19500883856381232,0.32756391840150034,4.14,2.88,1.0,0.8188116092410311,0.195,0.4,0.1,0.5
170621.09077552,0.1772230973309168,0.20240641371076196,0.3345055970184193,5.58,0.8999999999999999,1.0,0.4983672597430129,0.2,0.4,0.1,0.5
170621.090782656,0.18877635020800454,0.19879551914197716,0.34272597161858814,6.66,-0.36,1.0,0.696737571336989,0.20500000000000002,0.4,0.1,0.5
170621.090789056,0.2035112681104073,0.19908153774339893,0.3490877341695119,7.38,0.36,1.0,0.22370067445904596,0.21,0.4,0.1,0.5
170621.131927232,0.21913818310819896,0.2072912481367394,0.35504131196871924,8.1,1.08,1.0,0.31525620288703493,0.215,0.4,0.1,0.5
170621.13193776,0.22975823242894503,0.20829470851410048,0.3612628713438084,9.18,1.26,1.0,0.3305154576250331,0.22,0.4,0.1,0.5
170621.131944288,0.2410655610156722,0.20593355290749546,0.36669629904745404,10.26,0.8999999999999999,1.0,0.2542191839350423,0.225,0.4,0.1,0.5
170621.131950848,0.2534985627451044,0.20416325437810975,0.37090639433463574,11.7,0.18,1.0,0.4831080050050147,0.23,0.4,0.1,0.5
170621.131957024,0.2616036578434185,0.1971526706188232,0.37587870306038157,12.959999999999999,-0.18,1.0,0.34577471236303126,0.23500000000000001,0.4,0.1,0.5
170621.13198,0.2698266025185502,0.18308202922397593,0.3804639761141661,14.04,0.18,1.0,0.3610339671010294,0.24,0.4,0.1,0.5
170621.131986944,0.28003511949667237,0.174744951898882,0.3842413214382767,15.479999999999999,0.0,1.0,0.4068117313150239,0.245,0.4,0.1,0.5
170621.131994112,0.28700299775675747,0.1803684906361504,0.3883537879507162,16.74,0.0,1.0,0.26947843867304044,0.25,0.4,0.1,0.5
170621.17543872,0.2935524763653652,0.17012102510455968,0.39241470095126346,18.0,0.0,1.0,0.34577471236303126,0.255,0.4,0.1,0.5
170621.17545088,0.3021508992908815,0.16475741869024196,0.3954832080998963,19.259999999999998,0.0,1.0,0.19318216498304963,0.26,0.4,0.1,0.5
170621.175458496,0.30796293041905903,0.1534445765299659,0.3992019113359354,20.7,0.0,1.0,0.43733024079102023,0.265,0.4,0.1,0.5
170621.175465408,0.3128455519019586,0.16246224605969567,0.4029659780414258,21.96,0.0,1.0,0.39155247657702574,0.27,0.4,0.1,0.5
170621.175471136,0.3199640505694378,0.15325068421035193,0.4057156535601191,23.4,0.0,1.0,0.4831080050050147,0.275,0.4,0.1,0.5
170621.17547744,0.3253567416137342,0.1532448751625178,0.40914822162488196,24.66,0.0,1.0,0.2542191839350423,0.28,0.4,0.1,0.5
170621.175484576,0.329308484847025,0.15206406148227217,0.4128342987090942,26.099999999999998,0.0,1.0,0.4525894955290184,0.28500000000000003,0.4,0.1,0.5
170621.175491392,0.3349133782802795,0.1547267045426234,0.4156617074996418,27.36,0.0,1.0,0.2542191839350423,0.29,0.4,0.1,0.5
170621.175497856,0.3400000656993697,0.14468879682412183,0.4184242059480934,28.619999999999997,0.0,1.0,0.29999694814903677,0.295,0.4,0.1,0.5
170621.219560096,0.3431396843131778,0.1435050618454833,0.4220057472346044,29.88,0.0,1.0,0.5288857692190092,0.3,0.4,0.1,0.5
170621.219571616,0.3477911493610225,0.13975786961445333,0.4247447272750642,30.959999999999997,0.0,1.0,0.3610339671010294,0.305,0.4,0.1,0.5
170621.21957872,0.35210562263332296,0.13493867513514207,0.42729488720424585,32.22,0.0,1.0,0.29999694814903677,0.31,0.4,0.1,0.5
170621.219585024,0.35503200608070434,0.12707546831076333,0.4304289264287704,33.3,0.0,1.0,0.39155247657702574,0.315,0.4,0.1,0.5
170621.219590944,0.3583874523010831,0.13938558726762446,0.4331823628718472,34.379999999999995,0.0,1.0,0.29999694814903677,0.32,0.4,0.1,0.5
170621.219601952,0.36232132827974917,0.1254646025334204,0.43559793574535777,35.46,0.0,1.0,0.43733024079102023,0.325,0.4,0.1,0.5
170621.21960896,0.36467901702201405,0.11214562328698756,0.43871157962706003,36.36,0.0,1.0,0.04058961760306801,0.33,0.4,0.1,0.5
170621.219616256,0.3676222989211851,0.12025031129267627,0.4413335867039721,37.26,0.0,1.0,0.3305154576250331,0.335,0.4,0.1,0.5
170621.219623104,0.37104159325536257,0.12382437518328089,0.443457641514437,38.16,0.0,1.0,0.3762932218390276,0.34,0.4,0.1,0.5
170621.261756896,0.3735315873012888,0.11951494212408315,0.445955567989485,38.879999999999995,0.0,1.0,0.29999694814903677,0.34500000000000003,0.4,0.1,0.5
170621.261766112,0.37620810524659326,0.13094941398832075,0.4483462436631658,39.6,0.0,1.0,0.23895992919704412,0.35000000000000003,0.4,0.1,0.5
170621.261772736,0.3788910724755205,0.12756476358657265,0.45051989454557495,40.14,0.0,1.0,0.26947843867304044,0.355,0.4,0.1,0.5
170621.261778688,0.3805687587668494,0.12271299812733724,0.45307246254578093,40.86,0.0,1.0,0.4068117313150239,0.36,0.4,0.1,0.5
170621.261785504,0.3825872486256585,0.12303637910774297,0.4553979578928953,41.4,0.0,1.0,0.26947843867304044,0.365,0.4,0.1,0.5
170621.261792256,0.38482433774825603,0.12459177141265865,0.457004766460079,41.76,0.0,1.0,0.22370067445904596,0.37,0.4,0.1,0.5
170621.261798784,0.3869532589463498,0.11954832424053367,0.4588488931263753,42.12,0.0,1.0,0.42207098605302207,0.375,0.4,0.1,0.5
170621.261805344,0.3880304551964375,0.11658407910094411,0.4614055932540718,42.48,0.0,1.0,0.17792291024505147,0.38,0.4,0.1,0.5
170621.304968352,0.39006011000464613,0.11476041195093017,0.4628526240125272,42.839999999999996,0.0,1.0,0.4068117313150239,0.385,0.4,0.1,0.5
170621.304979872,0.3915871120268605,0.11199360524365154,0.46452296990408354,43.019999999999996,0.0,1.0,0.2542191839350423,0.39,0.4,0.1,0.5
170621.304986976,0.3926679518867621,0.10785144401281564,0.46687185157920075,43.199999999999996,0.0,1.0,0.43733024079102023,0.395,0.4,0.1,0.5
170621.30499328,0.39379329286389747,0.11460503872406397,0.4687273903436746,43.379999999999995,0.0,1.0,0.43733024079102023,0.4,0.4,0.1,0.5
170621.305000448,0.394896544046005,0.10296349561458253,0.4706250343466446,43.379999999999995,0.0,1.0,0.3762932218390276,0.405,0.4,0.1,0.5
170621.305007936,0.39571996624483485,0.11053177021868278,0.47288567700133527,43.379999999999995,0.0,1.0,0.46784875026701656,0.41000000000000003,0.4,0.1,0.5
170621.305014368,0.3973432390524885,0.11037311549784916,0.47431965977166024,43.379999999999995,0.0,1.0,0.5288857692190092,0.41500000000000004,0.4,0.1,0.5
170621.305021856,0.3992695203185302,0.11157473696202387,0.4752214264488163,43.379999999999995,0.0,1.0,0.43733024079102023,0.42,0.4,0.1,0.5
170621.30502848,0.4007173754291209,0.1119730294829979,0.47683439483016304,43.199999999999996,0.0,1.0,0.010071108127071682,0.425,0.4,0.1,0.5
170621.34591824,0.4016627709147214,0.11492315985890998,0.4783786285765408,43.199999999999996,-0.18,1.0,0.26947843867304044,0.43,0.4,0.1,0.5
170621.345926944,0.4024876462678645,0.10610129642277073,0.479671658581832,43.199999999999996,-0.18,1.0,0.2542191839350423,0.435,0.4,0.1,0.5
170621.345933408,0.4031005181074999,0.10483197647054206,0.4813042989528805,43.199999999999996,-0.18,1.0,0.4983672597430129,0.44,0.4,0.1,0.5
170621.345940192,0.4033100666896705,0.11039819717913826,0.4826527618072387,43.199999999999996,-0.18,1.0,0.39155247657702574,0.445,0.4,0.1,0.5
170621.345946656,0.402989301704401,0.10905887252717125,0.484032598205936,43.199999999999996,-0.18,1.0,0.2847376934110386,0.45,0.4,0.1,0.5
170621.345953952,0.40279051332436183,0.11137912650273146,0.4852968780604101,43.199999999999996,-0.18,1.0,0.17792291024505147,0.455,0.4,0.1,0.5
170621.345960608,0.4024621288511664,0.10601300458719222,0.48641804576808645,43.199999999999996,-0.18,1.0,0.29999694814903677,0.46,0.4,0.1,0.5
170621.345971744,0.40238555027623246,0.11385981325270764,0.48715271279960604,43.199999999999996,-0.18,1.0,0.14740440076905514,0.465,0.4,0.1,0.5
170621.390463392,0.40184824026525034,0.10781965397527343,0.48855845464706926,43.379999999999995,-0.18,1.0,0.1626636555070533,0.47000000000000003,0.4,0.1,0.5
170621.39047808,0.4012849421645758,0.12848167170023134,0.4895858737513652,43.379999999999995,-0.18,1.0,0.22370067445904596,0.47500000000000003,0.4,0.1,0.5
170621.390484544,0.4011382489473519,0.1221349096644126,0.4902382452447228,43.379999999999995,-0.18,1.0,0.4068117313150239,0.48,0.4,0.1,0.5
170621.390491392,0.4008083795267721,0.1174335982842855,0.49118072673012814,43.379999999999995,-0.18,1.0,0.3762932218390276,0.485,0.4,0.1,0.5
170621.39049792,0.4003219570042104,0.10691091916346435,0.49234633874567885,43.199999999999996,-0.18,1.0,0.39155247657702574,0.49,0.4,0.1,0.5
170621.390504992,0.400308943517244,0.10818223069241863,0.4928862155768615,43.199999999999996,-0.18,1.0,-0.005188146610926481,0.495,0.4,0.1,0.5
170621.390511488,0.40060042602801643,0.10049094083477653,0.4934760743739978,43.199999999999996,-0.18,1.0,0.6509598071229945,0.5,0.4,0.1,0.5
170621.39051824,0.40050336799333597,0.10809638817649238,0.49423551401033844,43.199999999999996,-0.18,1.0,0.26947843867304044,0.505,0.4,0.1,0.5
170621.390524448,0.4001728842531551,0.10039770354459852,0.49509673591000697,43.199999999999996,-0.18,1.0,0.4068117313150239,0.51,0.4,0.1,0.5
170621.431603296,0.399931016123259,0.09067743512276258,0.49586886109218453,43.199999999999996,-0.18,1.0,0.19318216498304963,0.515,0.4,0.1,0.5
170621.43161392,0.4002829874275944,0.1033504148630338,0.4961614650949577,43.199999999999996,-0.18,1.0,0.1626636555070533,0.52,0.4,0.1,0.5
170621.431620672,0.3999499014566978,0.1062701553405413,0.4968498008797979,43.199999999999996,-0.18,1.0,0.22370067445904596,0.525,0.4,0.1,0.5
170621.431626944,0.39992107313867475,0.10738495603118672,0.4972461577026025,43.199999999999996,-0.18,1.0,0.22370067445904596,0.53,0.4,0.1,0.5
170621.431633472,0.3996556334528444,0.10430122291086126,0.4978837486937015,43.199999999999996,-0.18,1.0,0.2084414197210478,0.535,0.4,0.1,0.5
