strike_idx,target_time,peak_time,timing_err_ms,peak_force,success,model_key,model,seed,midi,trial,force_threshold
0,0.41948216311869535,,,0.0,False,RAL/A_seed1,A,1,gmd_03_high_bpm138.mid,1,1.0
1,0.7390876207329394,,,0.0,False,RAL/A_seed1,A,1,gmd_03_high_bpm138.mid,1,1.0
2,0.9588163728427322,1.0686807488976287,109.86437605489641,17.215399639881564,False,RAL/A_seed1,A,1,gmd_03_high_bpm138.mid,1,1.0
3,1.6180026291721106,,,0.0,False,RAL/A_seed1,A,1,gmd_03_high_bpm138.mid,1,1.0
4,2.1573368388961476,2.2871765560519344,129.8397171557868,7.693624683370491,False,RAL/A_seed1,A,1,gmd_03_high_bpm138.mid,1,1.0
5,2.496917637611282,,,0.0,False,RAL/A_seed1,A,1,gmd_03_high_bpm138.mid,1,1.0
6,2.6966710486201846,,,0.0,False,RAL/A_seed1,A,1,gmd_03_high_bpm138.mid,1,1.0
7,3.0162765062344286,,,0.0,False,RAL/A_seed1,A,1,gmd_03_high_bpm138.mid,1,1.0
8,3.355857304949563,,,0.0,False,RAL/A_seed1,A,1,gmd_03_high_bpm138.mid,1,1.0
9,3.4757093515549045,3.4856970221053496,9.987670550445138,26.79821161534469,True,RAL/A_seed1,A,1,gmd_03_high_bpm138.mid,1,1.0
10,4.1948216311869535,,,0.0,False,RAL/A_seed1,A,1,gmd_03_high_bpm138.mid,1,1.0
11,4.434525724397637,,,0.0,False,RAL/A_seed1,A,1,gmd_03_high_bpm138.mid,1,1.0
12,4.973859934121673,,,0.0,False,RAL/A_seed1,A,1,gmd_03_high_bpm138.mid,1,1.0
13,5.2734900506350275,5.428298944166927,154.8088935318992,10.837031159398164,False,RAL/A_seed1,A,1,gmd_03_high_bpm138.mid,1,1.0
14,5.613070849350161,,,0.0,False,RAL/A_seed1,A,1,gmd_03_high_bpm138.mid,1,1.0
15,5.9127009658635155,,,0.0,False,RAL/A_seed1,A,1,gmd_03_high_bpm138.mid,1,1.0
16,6.152405059074199,6.297226282055653,144.82122298145407,16.711844233527625,False,RAL/A_seed1,A,1,gmd_03_high_bpm138.mid,1,1.0
17,6.691739268798235,,,0.0,False,RAL/A_seed1,A,1,gmd_03_high_bpm138.mid,1,1.0
18,6.9913693853115895,,,0.0,False,RAL/A_seed1,A,1,gmd_03_high_bpm138.mid,1,1.0
19,7.3509255251276135,,,0.0,False,RAL/A_seed1,A,1,gmd_03_high_bpm138.mid,1,1.0
20,7.690506323842748,,,0.0,False,RAL/A_seed1,A,1,gmd_03_high_bpm138.mid,1,1.0
21,7.9302104170534315,,,0.0,False,RAL/A_seed1,A,1,gmd_03_high_bpm138.mid,1,1.0
