strike_idx,target_time,peak_time,timing_err_ms,peak_force,success,model_key,model,seed,midi,trial,force_threshold
0,0.41947096409301743,0.45442687776743557,34.955913674418134,9.692587054048303,False,RAL/B_seed1,B,1,gmd_03_high_bpm138.mid,1,1.0
1,0.7390678891162689,0.7490552930232454,9.9874039069765,21.50325022125921,True,RAL/B_seed1,B,1,gmd_03_high_bpm138.mid,1,1.0
2,0.9587907750697542,0.9837592848371957,24.96850976744147,3.1463667714468717,True,RAL/B_seed1,B,1,gmd_03_high_bpm138.mid,1,1.0
3,1.61795943293021,1.61795943293021,0.0,44.422650837733066,True,RAL/B_seed1,B,1,gmd_03_high_bpm138.mid,1,1.0
4,2.1572792439069466,,,0.0,False,RAL/B_seed1,B,1,gmd_03_high_bpm138.mid,1,1.0
5,2.4968509767441516,2.5667628040929875,69.91182734883594,13.064882351145954,False,RAL/B_seed1,B,1,gmd_03_high_bpm138.mid,1,1.0
6,2.6965990548836833,2.7615171802790313,64.91812539534791,1.803552354503033,False,RAL/B_seed1,B,1,gmd_03_high_bpm138.mid,1,1.0
7,3.016195979906935,3.0211896818604234,4.993701953488472,45.429761650441,True,RAL/B_seed1,B,1,gmd_03_high_bpm138.mid,1,1.0
8,3.3557677127441394,,,0.0,False,RAL/B_seed1,B,1,gmd_03_high_bpm138.mid,1,1.0
9,3.4756165596278588,3.565503194790648,89.88663516278939,19.82473220007936,False,RAL/B_seed1,B,1,gmd_03_high_bpm138.mid,1,1.0
10,4.194709640930174,,,0.0,False,RAL/B_seed1,B,1,gmd_03_high_bpm138.mid,1,1.0
11,4.434407334697613,4.459375844465054,24.968509767441027,38.31894894253364,True,RAL/B_seed1,B,1,gmd_03_high_bpm138.mid,1,1.0
12,4.973727145674349,4.978720847627838,4.993701953488916,89.86471144749292,True,RAL/B_seed1,B,1,gmd_03_high_bpm138.mid,1,1.0
13,5.273349262883648,5.288330368744113,14.981105860464972,24.371990112002926,True,RAL/B_seed1,B,1,gmd_03_high_bpm138.mid,1,1.0
14,5.612920995720852,5.632895803534805,19.974807813953,1.040589617603068,True,RAL/B_seed1,B,1,gmd_03_high_bpm138.mid,1,1.0
15,5.912543112930151,5.962480132465034,49.93701953488294,2.291848506118974,False,RAL/B_seed1,B,1,gmd_03_high_bpm138.mid,1,1.0
16,6.152240806697589,,,0.0,False,RAL/B_seed1,B,1,gmd_03_high_bpm138.mid,1,1.0
17,6.691560617674326,6.686566915720838,-4.993701953488028,43.88857692190313,True,RAL/B_seed1,B,1,gmd_03_high_bpm138.mid,1,1.0
18,6.9911827348836235,7.011157542697577,19.974807813953888,29.11761833552052,True,RAL/B_seed1,B,1,gmd_03_high_bpm138.mid,1,1.0
19,7.350729275534782,7.370704083348735,19.974807813953,5.6946623126926745,True,RAL/B_seed1,B,1,gmd_03_high_bpm138.mid,1,1.0
20,7.6903010083719865,7.735244325953381,44.943317581394915,1.1168858912930588,False,RAL/B_seed1,B,1,gmd_03_high_bpm138.mid,1,1.0
21,7.929998702139425,7.964954615813843,34.95591367441797,6.717032380138551,False,RAL/B_seed1,B,1,gmd_03_high_bpm138.mid,1,1.0
22,8.209646011534769,8.26457673302314,54.93072148837186,15.185918759727755,False,RAL/B_seed1,B,1,gmd_03_high_bpm138.mid,1,1.0
23,8.549217744371974,,,0.0,False,RAL/B_seed1,B,1,gmd_03_high_bpm138.mid,1,1.0
24,8.64909178344174,8.604148465860346,-44.94331758139403,1.803552354503033,False,RAL/B_seed1,B,1,gmd_03_high_bpm138.mid,1,1.0
25,9.113506065116152,,,0.0,False,RAL/B_seed1,B,1,gmd_03_high_bpm138.mid,1,1.0
26,9.408134480371963,9.438096692092893,29.962211720929943,43.23242896816921,True,RAL/B_seed1,B,1,gmd_03_high_bpm138.mid,1,1.0
27,9.667806981953355,9.687781789767307,19.97480781395211,10.806512649922167,True,RAL/B_seed1,B,1,gmd_03_high_bpm138.mid,1,1.0
28,9.987403906976606,10.00238501283707,14.981105860464083,25.01287881099885,True,RAL/B_seed1,B,1,gmd_03_high_bpm138.mid,1,1.0
29,10.307000831999856,10.381906361302182,74.90552930232575,4.885921811578717,False,RAL/B_seed1,B,1,gmd_03_high_bpm138.mid,1,1.0
30,10.866295450790547,10.876282854697523,9.987403906976056,5.572588274788634,True,RAL/B_seed1,B,1,gmd_03_high_bpm138.mid,1,1.0
31,11.190886077767287,11.215854587534729,24.968509767441915,20.099398785363327,True,RAL/B_seed1,B,1,gmd_03_high_bpm138.mid,1,1.0
